,symbol,marketCap,trailingPE,priceToBook,profitMargins,revenue,grossProfits,totalAssets,totalLiab,totalCash
342,NDSN,13410380800,27.097925,5.1982408,0.19320999,,1426536000,,,143138000
343,NSC,48813715456,23.642935,3.869499,0.16964,,6156000000,,,1506000000
344,NTRS,15809268736,14.489564,1.4421424,0.17089,,6749200000,,,9727899648
345,NOC,71101906944,15.505425,4.4660816,0.120740004,,7474000000,,,2082000000
346,NCLH,6113357312,,13.937924,-0.02596,,576674000,,,681558016
347,NRG,10360309760,,3.6694388,-0.059559997,,4097000000,,,422000000
348,NUE,38636060672,7.9494185,1.8878531,0.13979,,12526946000,,,6719090176
349,NVDA,1180067299328,114.84616,35.418488,0.42097,,15356000000,,,18281000960
350,NVR,19694282752,13.03784,4.7658744,0.16458,,2823687000,,,2876605952
351,NXPI,51583533056,18.546803,6.0580006,0.21434,,7514000000,,,4041999872
352,ORLY,58402553856,26.31725,,0.14864999,,7381706000,,,82664000
353,OXY,52963119104,13.106753,2.5113754,0.18513,,24571000000,,,611000000
354,ODFL,44116971520,35.97153,10.864436,0.21163,,2491592000,,,206600992
